Country,Capital,Languages,Religion,Currency,Time Zone,Calling code
Cambodia,Phnom Penh 11°33′N 104°55′E Coordinates: 11°33′N 104°55′E,Cambodian,97.1% Buddhism (official[3]) 2.0% Islam 0.3% Christianity 0.5% Others[4],Riel (៛) (KHR; de jure) United States dollar ($) (USD; de facto) [9][10],UTC+07:00 (ICT),855
Cameroon,Yaoundé[1] 3°52′N 11°31′E,Cameroonian Pidgin English Fula Ewondo Chadian Arabic Camfranglais,70.7% Christianity 24.4% Islam 2.3% Traditional faiths 2.1% No religion 0.5% Others,Central African CFA franc (XAF),UTC+1 (WAT),237
Canada,Ottawa 45°24′N 75°40′W,EnglishFrench,See below,Canadian dollar ($) (CAD),UTC−3.5 to −8,1
Central African Republic,Bangui 4°22′N 18°35′E,show List,89% Christianity 9% Islam 1% Traditional faiths 1% Others / None,Central African CFA franc (XAF) Bitcoin (BTC)[7],UTC+1 (WAT),236
Chad,N'Djamena 12°06′N 16°02′E,ArabicFrench,51.8% Islam 44.1% Christianity 2.9% No religion 0.7% Animism 0.5% Others,Central African CFA franc (XAF),UTC+1 (WAT),235
Chile,Santiagoa 33°26′S 70°40′W,Chile,63% Christianity —45% Roman Catholic —15% Protestant —3% Other Christian 36% No religion 1% Other,Chilean peso (CLP),UTC−4 and −6 (CLT and EASTc),56
China,Beijing 39°55′N 116°23′E,MongolianUyghurTibetanZhuangOthers,74.5% No religion / Folk 18.3% Buddhism 5.2% Christianity 1.6% Islam 0.4% Others,Renminbi (元/¥)[h] (CNY),UTC+8 (CST),+86 (Mainland) +852 (Hong Kong) +853 (Macau)
Colombia,Bogotá 4°35′N 74°4′W,English (in San Andrés and Providencia) 64 other languages [a],88.6% Christianity —73.7% Roman Catholic —14.1% Protestant —0.8% Other Christian 10.3% No religion 1.1% Other,Colombian peso (COP),UTC−5[b] (COT),57
Comoros,Moroni 11°41′S 43°16′E,ComorianFrenchArabic,98% Islam (Official) 2% Christianity,Comorian franc (KMF),UTC+3 (EAT),269
Costa Rica,San José 9°56′N 84°5′W,MekatelyuBribriPatois,72.6% Christianity —47.5% Roman Catholic (official)[3] —22.5% Protestant —2.6% Other Christian 27.0% No religion 0.4% Others,Costa Rican colón (CRC),UTC−6 (CST),506
Croatia,Zagreb[b] 45°48′N 16°0′E,Croatian[c],91.06% Christianity —86.28% Catholicism —4.44% Orthodoxy —0.34% Protestantism 4.57% No religion 4.37% Others,Croatian kuna (HRK),UTC+1 (CET),385
Pakistan,Islamabad 33°41′30″N 73°03′00″E,Punjabi (39%) Pashto (18%) Sindhi (15%) Saraiki (12%) Balochi (3%) Hindko (2%) Pothwari (1%) Brahui (1%) Kashmiri (0.17%) Balti Burushaski Dameli Domaaki Gawar-Bati Kalasha Khowar Kohistani Kutchi Memoni Shina Wakhi Yidgha,96.5% Islam (official)[4] 2.1% Hinduism 1.3% Christianity 0.1% Others,Pakistani rupee (₨) (PKR),UTC+05:00 (PKT),92
India,New Delhi 28°36′50″N 77°12′30″E,447 languages[c],79.8% Hinduism 14.2% Islam 2.3% Christianity 1.7% Sikhism 0.7% Buddhism 0.4% Jainism 0.23% Unaffiliated 0.65% Others[15],Indian rupee (₹) (INR),UTC+05:30 (IST),91
